hour,timestamp,avg_voltage,avg_current,avg_power,energy_kwh,samples,hour_of_day,day_of_week,is_weekend
2007-07-05_21,1183669200,239.59,7.02,1.653,1.653,60,21,3,0
2007-07-05_22,1183672800,240.04,11.26,2.704,2.704,60,22,3,0
2007-07-05_23,1183676400,242.82,4.95,1.18,1.18,60,23,3,0
2007-07-06_00,1183680000,242.1,2.43,0.515,0.515,60,0,4,0
2007-07-06_01,1183683600,243.25,1.46,0.277,0.277,60,1,4,0
2007-07-06_02,1183687200,242.24,1.16,0.232,0.232,60,2,4,0
2007-07-06_03,1183690800,241.89,0.82,0.179,0.179,60,3,4,0
2007-07-06_04,1183694400,241.52,0.88,0.19,0.19,60,4,4,0
2007-07-06_05,1183698000,241.09,2.35,0.563,0.563,60,5,4,0
2007-07-06_06,1183701600,240.91,2.04,0.472,0.472,60,6,4,0
2007-07-06_07,1183705200,240.37,3.18,0.696,0.696,60,7,4,0
2007-07-06_08,1183708800,240.33,3.95,0.925,0.925,60,8,4,0
2007-07-06_09,1183712400,238.65,2.56,0.565,0.565,60,9,4,0
2007-07-06_10,1183716000,238.11,0.92,0.196,0.196,60,10,4,0
2007-07-06_11,1183719600,239.11,0.85,0.176,0.176,60,11,4,0
2007-07-06_12,1183723200,240.0,0.83,0.18,0.18,60,12,4,0
2007-07-06_13,1183726800,239.97,0.86,0.19,0.19,60,13,4,0
2007-07-06_14,1183730400,240.6,1.09,0.228,0.228,60,14,4,0
2007-07-06_15,1183734000,241.1,1.36,0.261,0.261,60,15,4,0
2007-07-06_16,1183737600,241.54,1.36,0.259,0.259,60,16,4,0
2007-07-06_17,1183741200,240.54,1.35,0.256,0.256,60,17,4,0
2007-07-06_18,1183744800,240.49,4.9,1.134,1.134,60,18,4,0
2007-07-06_19,1183748400,239.64,6.28,1.451,1.451,60,19,4,0
2007-07-06_20,1183752000,238.03,11.03,2.557,2.557,60,20,4,0
2007-07-06_21,1183755600,239.11,18.04,4.272,4.272,60,21,4,0
2007-07-06_22,1183759200,241.09,6.6,1.547,1.547,60,22,4,0
2007-07-06_23,1183762800,242.71,2.14,0.502,0.502,60,23,4,0
2007-07-07_00,1183766400,240.8,10.58,2.523,2.523,60,0,5,1
2007-07-07_01,1183770000,240.39,10.65,2.526,2.526,60,1,5,1
2007-07-07_02,1183773600,240.12,2.65,0.613,0.613,60,2,5,1
2007-07-07_03,1183777200,241.65,0.9,0.201,0.201,60,3,5,1
2007-07-07_04,1183780800,241.73,1.11,0.234,0.234,60,4,5,1
2007-07-07_05,1183784400,242.38,1.24,0.244,0.244,60,5,5,1
2007-07-07_06,1183788000,242.33,0.87,0.188,0.188,60,6,5,1
2007-07-07_07,1183791600,239.38,5.73,1.354,1.354,60,7,5,1
2007-07-07_08,1183795200,239.11,6.36,1.513,1.513,60,8,5,1
2007-07-07_09,1183798800,238.67,4.8,1.147,1.147,60,9,5,1
2007-07-07_10,1183802400,239.29,0.92,0.204,0.204,60,10,5,1
2007-07-07_11,1183806000,237.69,1.43,0.308,0.308,60,11,5,1
2007-07-07_12,1183809600,237.77,1.41,0.314,0.314,60,12,5,1
2007-07-07_13,1183813200,238.89,5.05,1.18,1.18,60,13,5,1
2007-07-07_14,1183816800,239.33,6.21,1.469,1.469,60,14,5,1
2007-07-07_15,1183820400,239.25,2.37,0.524,0.524,60,15,5,1
2007-07-07_16,1183824000,239.77,1.12,0.24,0.24,60,16,5,1
2007-07-07_17,1183827600,240.76,3.61,0.834,0.834,60,17,5,1
2007-07-07_18,1183831200,239.71,3.81,0.874,0.874,60,18,5,1
2007-07-07_19,1183834800,240.74,2.55,0.565,0.565,60,19,5,1
2007-07-07_20,1183838400,239.99,7.58,1.811,1.811,60,20,5,1
2007-07-07_21,1183842000,238.59,6.12,1.456,1.456,60,21,5,1
2007-07-07_22,1183845600,238.91,6.51,1.561,1.561,60,22,5,1
2007-07-07_23,1183849200,240.6,3.26,0.752,0.752,60,23,5,1
2007-07-08_00,1183852800,240.01,1.7,0.374,0.374,60,0,6,1
2007-07-08_01,1183856400,241.52,1.57,0.344,0.344,60,1,6,1
2007-07-08_02,1183860000,241.94,4.42,1.059,1.059,60,2,6,1
2007-07-08_03,1183863600,241.37,5.6,1.359,1.359,60,3,6,1
2007-07-08_04,1183867200,242.05,3.15,0.725,0.725,60,4,6,1
2007-07-08_05,1183870800,243.37,1.41,0.275,0.275,60,5,6,1
2007-07-08_06,1183874400,243.76,0.97,0.212,0.212,60,6,6,1
2007-07-08_07,1183878000,243.06,1.0,0.216,0.216,60,7,6,1
2007-07-08_08,1183881600,242.38,1.46,0.284,0.284,60,8,6,1
2007-07-08_09,1183885200,240.58,1.02,0.221,0.221,60,9,6,1
2007-07-08_10,1183888800,238.3,3.26,0.754,0.754,60,10,6,1
2007-07-08_11,1183892400,237.17,6.8,1.589,1.589,60,11,6,1
2007-07-08_12,1183896000,239.3,3.58,0.834,0.834,60,12,6,1
2007-07-08_13,1183899600,239.71,3.42,0.79,0.79,60,13,6,1
2007-07-08_14,1183903200,238.92,3.87,0.915,0.915,60,14,6,1
2007-07-08_15,1183906800,241.02,1.33,0.276,0.276,60,15,6,1
2007-07-08_16,1183910400,240.08,1.01,0.211,0.211,60,16,6,1
2007-07-08_17,1183914000,236.7,9.08,2.098,2.098,60,17,6,1
2007-07-08_18,1183917600,238.76,5.87,1.337,1.337,60,18,6,1
2007-07-08_19,1183921200,239.24,3.02,0.686,0.686,60,19,6,1
2007-07-08_20,1183924800,238.11,2.89,0.663,0.663,60,20,6,1
2007-07-08_21,1183928400,240.13,1.26,0.258,0.258,60,21,6,1
2007-07-08_22,1183932000,240.28,3.57,0.831,0.831,60,22,6,1
2007-07-08_23,1183935600,240.39,7.65,1.839,1.839,60,23,6,1
2007-07-09_00,1183939200,241.62,6.53,1.582,1.582,60,0,0,0
2007-07-09_01,1183942800,243.58,1.37,0.275,0.275,60,1,0,0
2007-07-09_02,1183946400,242.08,1.06,0.224,0.224,60,2,0,0
2007-07-09_03,1183950000,242.45,0.87,0.191,0.191,60,3,0,0
2007-07-09_04,1183953600,241.55,1.26,0.258,0.258,60,4,0,0
2007-07-09_05,1183957200,242.22,1.07,0.222,0.222,60,5,0,0
2007-07-09_06,1183960800,244.13,1.01,0.217,0.217,60,6,0,0
2007-07-09_07,1183964400,239.12,6.0,1.423,1.423,60,7,0,0
2007-07-09_08,1183968000,238.16,5.16,1.216,1.216,60,8,0,0
2007-07-09_09,1183971600,237.95,5.34,1.292,1.292,60,9,0,0
2007-07-09_10,1183975200,238.3,5.3,1.282,1.282,60,10,0,0
2007-07-09_11,1183978800,238.21,5.66,1.356,1.356,60,11,0,0
2007-07-09_12,1183982400,239.93,2.87,0.66,0.66,60,12,0,0
2007-07-09_13,1183986000,239.47,1.45,0.321,0.321,60,13,0,0
2007-07-09_14,1183989600,239.0,1.24,0.266,0.266,60,14,0,0
2007-07-09_15,1183993200,240.5,1.26,0.271,0.271,60,15,0,0
2007-07-09_16,1183996800,239.27,4.6,1.086,1.086,60,16,0,0
2007-07-09_17,1184000400,240.64,1.14,0.243,0.243,60,17,0,0
2007-07-09_18,1184004000,242.78,1.77,0.381,0.381,60,18,0,0
2007-07-09_19,1184007600,242.17,2.08,0.48,0.48,60,19,0,0
2007-07-09_20,1184011200,242.16,3.42,0.714,0.714,60,20,0,0
2007-07-09_21,1184014800,240.79,4.98,1.181,1.181,60,21,0,0
2007-07-09_22,1184018400,238.53,11.03,2.62,2.62,60,22,0,0
2007-07-09_23,1184022000,240.2,7.92,1.909,1.909,60,23,0,0
2007-07-10_00,1184025600,240.86,5.55,1.304,1.304,60,0,1,0
2007-07-10_01,1184029200,240.43,1.53,0.309,0.309,60,1,1,0
2007-07-10_02,1184032800,240.73,0.98,0.214,0.214,60,2,1,0
2007-07-10_03,1184036400,241.18,1.04,0.224,0.224,60,3,1,0
2007-07-10_04,1184040000,241.3,1.33,0.267,0.267,60,4,1,0
2007-07-10_05,1184043600,241.2,0.94,0.21,0.21,60,5,1,0
2007-07-10_06,1184047200,242.61,0.97,0.215,0.215,60,6,1,0
2007-07-10_07,1184050800,238.26,8.21,1.945,1.945,60,7,1,0
2007-07-10_08,1184054400,240.27,5.26,1.271,1.271,60,8,1,0
2007-07-10_09,1184058000,239.29,1.79,0.41,0.41,60,9,1,0
2007-07-10_10,1184061600,238.17,1.29,0.259,0.259,60,10,1,0
2007-07-10_11,1184065200,238.34,0.99,0.207,0.207,60,11,1,0
2007-07-10_12,1184068800,238.9,0.94,0.2,0.2,60,12,1,0
2007-07-10_13,1184072400,238.62,1.12,0.227,0.227,60,13,1,0
2007-07-10_14,1184076000,238.29,1.16,0.233,0.233,60,14,1,0
2007-07-10_15,1184079600,238.83,2.87,0.681,0.681,60,15,1,0
2007-07-10_16,1184083200,239.55,1.5,0.333,0.333,60,16,1,0
2007-07-10_17,1184086800,240.66,1.3,0.257,0.257,60,17,1,0
2007-07-10_18,1184090400,240.13,0.96,0.204,0.204,60,18,1,0
2007-07-10_19,1184094000,238.27,3.14,0.689,0.689,60,19,1,0
2007-07-10_20,1184097600,240.17,2.94,0.602,0.602,60,20,1,0
2007-07-10_21,1184101200,241.3,5.45,1.243,1.243,60,21,1,0
2007-07-10_22,1184104800,238.43,13.82,3.253,3.253,60,22,1,0
2007-07-10_23,1184108400,243.8,1.79,0.382,0.382,60,23,1,0
2007-07-11_00,1184112000,243.1,1.05,0.231,0.231,60,0,2,0
2007-07-11_01,1184115600,241.87,0.96,0.207,0.207,60,1,2,0
2007-07-11_02,1184119200,242.37,1.26,0.259,0.259,60,2,2,0
2007-07-11_03,1184122800,242.59,0.95,0.206,0.206,60,3,2,0
2007-07-11_04,1184126400,242.72,0.88,0.193,0.193,60,4,2,0
2007-07-11_05,1184130000,242.6,2.57,0.589,0.589,60,5,2,0
2007-07-11_06,1184133600,242.13,3.3,0.759,0.759,60,6,2,0
2007-07-11_07,1184137200,241.02,3.84,0.915,0.915,60,7,2,0
2007-07-11_08,1184140800,239.97,7.47,1.801,1.801,60,8,2,0
2007-07-11_09,1184144400,238.39,7.5,1.792,1.792,60,9,2,0
2007-07-11_10,1184148000,238.2,5.08,1.226,1.226,60,10,2,0
2007-07-11_11,1184151600,238.22,2.0,0.437,0.437,60,11,2,0
2007-07-11_12,1184155200,239.27,1.06,0.221,0.221,60,12,2,0
2007-07-11_13,1184158800,239.99,0.86,0.186,0.186,60,13,2,0
2007-07-11_14,1184162400,239.83,1.18,0.241,0.241,60,14,2,0
2007-07-11_15,1184166000,240.08,1.1,0.224,0.224,60,15,2,0
2007-07-11_16,1184169600,242.18,0.9,0.192,0.192,60,16,2,0
2007-07-11_17,1184173200,240.92,1.26,0.265,0.265,60,17,2,0
2007-07-11_18,1184176800,240.31,2.52,0.569,0.569,60,18,2,0
2007-07-11_19,1184180400,240.74,2.73,0.628,0.628,60,19,2,0
2007-07-11_20,1184184000,242.68,1.09,0.228,0.228,60,20,2,0
2007-07-11_21,1184187600,241.0,1.19,0.241,0.241,60,21,2,0
2007-07-11_22,1184191200,241.43,0.94,0.204,0.204,60,22,2,0
2007-07-11_23,1184194800,243.11,1.08,0.226,0.226,60,23,2,0
2007-07-12_00,1184198400,242.17,2.28,0.512,0.512,60,0,3,0
2007-07-12_01,1184202000,239.7,3.29,0.79,0.79,60,1,3,0
2007-07-12_02,1184205600,241.13,1.1,0.227,0.227,60,2,3,0
2007-07-12_03,1184209200,241.78,1.13,0.23,0.23,60,3,3,0
2007-07-12_04,1184212800,241.35,0.92,0.195,0.195,60,4,3,0
2007-07-12_05,1184216400,241.34,1.06,0.221,0.221,60,5,3,0
2007-07-12_06,1184220000,240.39,1.2,0.239,0.239,60,6,3,0
2007-07-12_07,1184223600,240.09,1.82,0.39,0.39,60,7,3,0
2007-07-12_08,1184227200,239.94,4.87,1.167,1.167,60,8,3,0
2007-07-12_09,1184230800,240.36,3.2,0.757,0.757,60,9,3,0
2007-07-12_10,1184234400,239.48,0.86,0.183,0.183,60,10,3,0
2007-07-12_11,1184238000,239.51,1.04,0.218,0.218,60,11,3,0
2007-07-12_12,1184241600,241.25,1.18,0.237,0.237,60,12,3,0
2007-07-12_13,1184245200,240.98,1.44,0.295,0.295,60,13,3,0
2007-07-12_14,1184248800,240.36,0.98,0.209,0.209,60,14,3,0
2007-07-12_15,1184252400,241.08,1.24,0.248,0.248,60,15,3,0
2007-07-12_16,1184256000,240.84,0.89,0.194,0.194,60,16,3,0
2007-07-12_17,1184259600,240.61,4.36,1.048,1.048,60,17,3,0
2007-07-12_18,1184263200,241.49,3.81,0.878,0.878,60,18,3,0
2007-07-12_19,1184266800,239.67,9.27,2.152,2.152,60,19,3,0
2007-07-12_20,1184270400,239.66,8.94,2.05,2.05,60,20,3,0
2007-07-12_21,1184274000,239.94,12.13,2.859,2.859,60,21,3,0
2007-07-12_22,1184277600,240.56,8.63,2.073,2.073,60,22,3,0
2007-07-12_23,1184281200,244.65,1.98,0.456,0.456,60,23,3,0
2007-07-13_00,1184284800,242.1,1.54,0.314,0.314,60,0,4,0
2007-07-13_01,1184288400,240.87,0.97,0.217,0.217,60,1,4,0
2007-07-13_02,1184292000,240.25,1.0,0.223,0.223,60,2,4,0
2007-07-13_03,1184295600,240.67,1.51,0.306,0.306,60,3,4,0
2007-07-13_04,1184299200,240.68,0.95,0.213,0.213,60,4,4,0
2007-07-13_05,1184302800,240.56,0.98,0.219,0.219,60,5,4,0
2007-07-13_06,1184306400,241.65,1.42,0.296,0.296,60,6,4,0
2007-07-13_07,1184310000,239.4,7.35,1.737,1.737,60,7,4,0
2007-07-13_08,1184313600,239.74,6.2,1.492,1.492,60,8,4,0
2007-07-13_09,1184317200,239.41,5.53,1.326,1.326,60,9,4,0
2007-07-13_10,1184320800,238.64,3.27,0.779,0.779,60,10,4,0
2007-07-13_11,1184324400,240.04,0.98,0.211,0.211,60,11,4,0
2007-07-13_12,1184328000,240.57,1.43,0.284,0.284,60,12,4,0
2007-07-13_13,1184331600,240.53,0.97,0.205,0.205,60,13,4,0
2007-07-13_14,1184335200,240.65,1.1,0.228,0.228,60,14,4,0
2007-07-13_15,1184338800,240.28,1.37,0.274,0.274,60,15,4,0
2007-07-13_16,1184342400,241.02,1.18,0.251,0.251,60,16,4,0
2007-07-13_17,1184346000,240.6,0.99,0.209,0.209,60,17,4,0
2007-07-13_18,1184349600,240.8,2.2,0.43,0.43,60,18,4,0
2007-07-13_19,1184353200,241.02,5.4,1.201,1.201,60,19,4,0
2007-07-13_20,1184356800,242.43,3.65,0.817,0.817,60,20,4,0
2007-07-13_21,1184360400,242.9,2.35,0.496,0.496,60,21,4,0
2007-07-13_22,1184364000,242.31,3.95,0.916,0.916,60,22,4,0
2007-07-13_23,1184367600,243.4,2.54,0.595,0.595,60,23,4,0
2007-07-14_00,1184371200,242.62,4.6,1.11,1.11,60,0,5,1
2007-07-14_01,1184374800,241.4,1.31,0.273,0.273,60,1,5,1
2007-07-14_02,1184378400,240.54,0.9,0.19,0.19,60,2,5,1
2007-07-14_03,1184382000,240.69,1.09,0.223,0.223,60,3,5,1
2007-07-14_04,1184385600,240.84,1.13,0.231,0.231,60,4,5,1
2007-07-14_05,1184389200,241.52,0.86,0.183,0.183,60,5,5,1
2007-07-14_06,1184392800,241.76,1.07,0.221,0.221,60,6,5,1
2007-07-14_07,1184396400,239.93,2.13,0.478,0.478,60,7,5,1
2007-07-14_08,1184400000,239.75,2.66,0.621,0.621,60,8,5,1
2007-07-14_09,1184403600,241.97,3.46,0.786,0.786,60,9,5,1
2007-07-14_10,1184407200,241.12,7.48,1.791,1.791,60,10,5,1
2007-07-14_11,1184410800,241.09,7.53,1.812,1.812,60,11,5,1
2007-07-14_12,1184414400,242.73,2.06,0.469,0.469,60,12,5,1
2007-07-14_13,1184418000,243.82,2.0,0.385,0.385,60,13,5,1
2007-07-14_14,1184421600,242.0,7.11,1.642,1.642,60,14,5,1
2007-07-14_15,1184425200,242.56,3.5,0.791,0.791,60,15,5,1
2007-07-14_16,1184428800,241.26,5.71,1.33,1.33,60,16,5,1
2007-07-14_17,1184432400,240.25,2.73,0.583,0.583,60,17,5,1
2007-07-14_18,1184436000,240.59,3.86,0.921,0.921,60,18,5,1
2007-07-14_19,1184439600,237.75,16.01,3.752,3.752,60,19,5,1
2007-07-14_20,1184443200,242.6,4.28,0.933,0.933,60,20,5,1
2007-07-14_21,1184446800,242.87,3.1,0.708,0.708,60,21,5,1
2007-07-14_22,1184450400,240.07,7.0,1.645,1.645,60,22,5,1
2007-07-14_23,1184454000,241.28,1.88,0.393,0.393,60,23,5,1
2007-07-15_00,1184457600,241.82,1.19,0.252,0.252,60,0,6,1
2007-07-15_01,1184461200,242.27,1.49,0.304,0.304,60,1,6,1
2007-07-15_02,1184464800,241.45,1.33,0.274,0.274,60,2,6,1
2007-07-15_03,1184468400,242.36,1.11,0.238,0.238,60,3,6,1
2007-07-15_04,1184472000,240.37,1.39,0.289,0.289,60,4,6,1
2007-07-15_05,1184475600,240.9,1.3,0.268,0.268,60,5,6,1
2007-07-15_06,1184479200,242.14,1.12,0.242,0.242,60,6,6,1
2007-07-15_07,1184482800,239.82,3.39,0.788,0.788,60,7,6,1
2007-07-15_08,1184486400,240.58,2.75,0.595,0.595,60,8,6,1
2007-07-15_09,1184490000,241.76,1.35,0.29,0.29,60,9,6,1
2007-07-15_10,1184493600,241.17,1.76,0.361,0.361,60,10,6,1
2007-07-15_11,1184497200,239.18,1.62,0.325,0.325,60,11,6,1
2007-07-15_12,1184500800,238.58,2.08,0.482,0.482,60,12,6,1
2007-07-15_13,1184504400,238.7,4.22,0.961,0.961,60,13,6,1
2007-07-15_14,1184508000,238.92,6.36,1.495,1.495,60,14,6,1
2007-07-15_15,1184511600,240.35,4.82,1.097,1.097,60,15,6,1
2007-07-15_16,1184515200,241.73,2.58,0.494,0.494,60,16,6,1
2007-07-15_18,1184522400,240.39,3.62,0.837,0.837,60,18,6,1
2007-07-15_19,1184526000,240.29,2.87,0.626,0.626,60,19,6,1
2007-07-15_20,1184529600,241.82,4.21,0.95,0.95,60,20,6,1
2007-07-15_21,1184533200,240.38,7.63,1.819,1.819,60,21,6,1
2007-07-15_22,1184536800,238.96,7.56,1.82,1.82,60,22,6,1
2007-07-15_23,1184540400,239.8,5.67,1.36,1.36,60,23,6,1
2007-07-16_00,1184544000,241.13,2.18,0.495,0.495,60,0,0,0
2007-07-16_01,1184547600,242.27,1.13,0.242,0.242,60,1,0,0
2007-07-16_02,1184551200,241.02,1.28,0.265,0.265,60,2,0,0
2007-07-16_03,1184554800,241.01,1.39,0.281,0.281,60,3,0,0
2007-07-16_04,1184558400,241.29,1.0,0.217,0.217,60,4,0,0
2007-07-16_05,1184562000,241.92,1.27,0.267,0.267,60,5,0,0
2007-07-16_06,1184565600,241.77,2.16,0.452,0.452,60,6,0,0
2007-07-16_07,1184569200,238.52,5.81,1.375,1.375,60,7,0,0
2007-07-16_08,1184572800,232.08,5.38,1.259,1.259,60,8,0,0
2007-07-16_09,1184576400,232.99,1.74,0.36,0.36,60,9,0,0
2007-07-16_10,1184580000,231.59,1.11,0.233,0.233,60,10,0,0
2007-07-16_11,1184583600,232.67,1.18,0.247,0.247,60,11,0,0
2007-07-16_12,1184587200,233.02,1.64,0.329,0.329,60,12,0,0
2007-07-16_13,1184590800,233.44,3.25,0.716,0.716,60,13,0,0
2007-07-16_14,1184594400,233.58,3.11,0.694,0.694,60,14,0,0
2007-07-16_15,1184598000,234.27,3.55,0.804,0.804,60,15,0,0
2007-07-16_16,1184601600,235.14,0.98,0.206,0.206,60,16,0,0
2007-07-16_17,1184605200,236.48,1.84,0.399,0.399,60,17,0,0
2007-07-16_18,1184608800,236.35,3.28,0.7,0.7,60,18,0,0
2007-07-16_19,1184612400,235.2,4.26,0.91,0.91,60,19,0,0
2007-07-16_20,1184616000,235.4,5.29,1.239,1.239,60,20,0,0
2007-07-16_21,1184619600,235.37,3.35,0.767,0.767,60,21,0,0
2007-07-16_22,1184623200,233.34,5.64,1.31,1.31,60,22,0,0
2007-07-16_23,1184626800,236.33,2.03,0.462,0.462,60,23,0,0
2007-07-17_00,1184630400,236.27,1.24,0.257,0.257,60,0,1,0
2007-07-17_01,1184634000,234.65,1.17,0.243,0.243,60,1,1,0
2007-07-17_02,1184637600,235.47,0.91,0.198,0.198,60,2,1,0
2007-07-17_03,1184641200,235.62,1.3,0.259,0.259,60,3,1,0
2007-07-17_04,1184644800,235.24,1.14,0.234,0.234,60,4,1,0
2007-07-17_05,1184648400,235.47,0.94,0.206,0.206,60,5,1,0
2007-07-17_06,1184652000,236.95,2.16,0.458,0.458,60,6,1,0
2007-07-17_07,1184655600,232.75,4.24,0.957,0.957,60,7,1,0
2007-07-17_08,1184659200,231.64,8.7,2.015,2.015,60,8,1,0
2007-07-17_09,1184662800,232.48,3.33,0.748,0.748,60,9,1,0
2007-07-17_10,1184666400,232.18,1.12,0.23,0.23,60,10,1,0
2007-07-17_11,1184670000,231.89,0.93,0.201,0.201,60,11,1,0
2007-07-17_12,1184673600,231.89,1.17,0.234,0.234,60,12,1,0
2007-07-17_13,1184677200,232.84,1.17,0.242,0.242,60,13,1,0
2007-07-17_14,1184680800,233.21,0.89,0.195,0.195,60,14,1,0
2007-07-17_15,1184684400,234.22,1.16,0.235,0.235,60,15,1,0
2007-07-17_16,1184688000,236.13,1.23,0.25,0.25,60,16,1,0
2007-07-17_17,1184691600,235.43,0.92,0.195,0.195,60,17,1,0
2007-07-17_18,1184695200,235.12,4.05,0.933,0.933,60,18,1,0
2007-07-17_19,1184698800,235.62,2.63,0.534,0.534,60,19,1,0
2007-07-17_20,1184702400,236.25,3.16,0.663,0.663,60,20,1,0
2007-07-17_21,1184706000,237.37,4.35,0.973,0.973,60,21,1,0
2007-07-17_22,1184709600,236.41,5.61,1.297,1.297,60,22,1,0
2007-07-17_23,1184713200,238.69,1.11,0.237,0.237,60,23,1,0
2007-07-18_00,1184716800,236.36,1.05,0.223,0.223,60,0,2,0
2007-07-18_01,1184720400,234.72,1.23,0.247,0.247,60,1,2,0
2007-07-18_02,1184724000,234.8,0.95,0.196,0.196,60,2,2,0
2007-07-18_03,1184727600,235.12,0.96,0.204,0.204,60,3,2,0
2007-07-18_04,1184731200,234.75,1.26,0.253,0.253,60,4,2,0
2007-07-18_05,1184734800,234.55,0.86,0.179,0.179,60,5,2,0
2007-07-18_06,1184738400,234.68,2.88,0.625,0.625,60,6,2,0
2007-07-18_07,1184742000,232.06,8.33,1.932,1.932,60,7,2,0
2007-07-18_08,1184745600,229.38,9.23,2.112,2.112,60,8,2,0
2007-07-18_09,1184749200,228.19,7.11,1.626,1.626,60,9,2,0
2007-07-18_10,1184752800,225.83,5.19,1.18,1.18,60,10,2,0
2007-07-18_11,1184756400,226.59,1.01,0.206,0.206,60,11,2,0
2007-07-18_12,1184760000,226.9,1.05,0.216,0.216,60,12,2,0
2007-07-18_13,1184763600,226.98,1.21,0.243,0.243,60,13,2,0
2007-07-18_14,1184767200,226.27,0.92,0.19,0.19,60,14,2,0
2007-07-18_15,1184770800,226.87,1.04,0.214,0.214,60,15,2,0
2007-07-18_16,1184774400,227.28,1.23,0.251,0.251,60,16,2,0
2007-07-18_17,1184778000,229.02,1.12,0.233,0.233,60,17,2,0
2007-07-18_18,1184781600,229.4,1.92,0.386,0.386,60,18,2,0
2007-07-18_19,1184785200,230.48,3.92,0.881,0.881,60,19,2,0
2007-07-18_20,1184788800,234.59,0.91,0.2,0.2,60,20,2,0
2007-07-18_21,1184792400,235.31,1.13,0.231,0.231,60,21,2,0
2007-07-18_22,1184796000,231.94,1.85,0.389,0.389,60,22,2,0
2007-07-18_23,1184799600,234.05,0.92,0.203,0.203,60,23,2,0
2007-07-19_00,1184803200,234.05,1.08,0.217,0.217,60,0,3,0
2007-07-19_01,1184806800,233.63,1.27,0.256,0.256,60,1,3,0
2007-07-19_02,1184810400,234.38,0.93,0.196,0.196,60,2,3,0
2007-07-19_03,1184814000,234.57,1.02,0.212,0.212,60,3,3,0
2007-07-19_04,1184817600,234.32,1.28,0.261,0.261,60,4,3,0
2007-07-19_05,1184821200,233.97,2.62,0.604,0.604,60,5,3,0
2007-07-19_06,1184824800,234.6,4.8,1.093,1.093,60,6,3,0
2007-07-19_07,1184828400,232.86,3.09,0.685,0.685,60,7,3,0
2007-07-19_08,1184832000,230.35,3.88,0.896,0.896,60,8,3,0
2007-07-19_09,1184835600,228.93,1.07,0.215,0.215,60,9,3,0
2007-07-19_10,1184839200,234.11,1.27,0.257,0.257,60,10,3,0
2007-07-19_11,1184842800,232.76,0.93,0.199,0.199,60,11,3,0
2007-07-19_12,1184846400,232.68,0.98,0.199,0.199,60,12,3,0
2007-07-19_13,1184850000,233.09,1.36,0.27,0.27,60,13,3,0
2007-07-19_14,1184853600,234.36,0.92,0.188,0.188,60,14,3,0
2007-07-19_15,1184857200,235.26,1.01,0.214,0.214,60,15,3,0
2007-07-19_16,1184860800,235.92,1.28,0.261,0.261,60,16,3,0
2007-07-19_17,1184864400,236.57,1.68,0.379,0.379,60,17,3,0
2007-07-19_18,1184868000,234.79,3.68,0.841,0.841,60,18,3,0
2007-07-19_19,1184871600,235.75,3.43,0.691,0.691,60,19,3,0
2007-07-19_20,1184875200,236.31,6.49,1.505,1.505,60,20,3,0
2007-07-19_21,1184878800,235.68,3.48,0.798,0.798,60,21,3,0
2007-07-19_22,1184882400,235.76,1.6,0.339,0.339,60,22,3,0
2007-07-19_23,1184886000,237.58,2.3,0.52,0.52,60,23,3,0
2007-07-20_00,1184889600,237.45,0.94,0.21,0.21,60,0,4,0
2007-07-20_01,1184893200,237.31,1.43,0.281,0.281,60,1,4,0
2007-07-20_02,1184896800,235.77,1.01,0.215,0.215,60,2,4,0
2007-07-20_03,1184900400,236.1,0.89,0.199,0.199,60,3,4,0
2007-07-20_04,1184904000,236.09,1.31,0.263,0.263,60,4,4,0
2007-07-20_05,1184907600,235.27,3.74,0.872,0.872,60,5,4,0
2007-07-20_06,1184911200,236.17,0.92,0.197,0.197,60,6,4,0
2007-07-20_07,1184914800,234.28,2.59,0.545,0.545,60,7,4,0
2007-07-20_08,1184918400,233.05,1.36,0.275,0.275,60,8,4,0
2007-07-20_09,1184922000,232.49,5.75,1.338,1.338,60,9,4,0
2007-07-20_10,1184925600,232.32,4.06,0.91,0.91,60,10,4,0
2007-07-20_11,1184929200,235.35,1.79,0.349,0.349,60,11,4,0
2007-07-20_12,1184932800,235.97,2.6,0.572,0.572,60,12,4,0
2007-07-20_13,1184936400,235.16,3.89,0.84,0.84,60,13,4,0
2007-07-20_14,1184940000,232.78,2.06,0.403,0.403,60,14,4,0
2007-07-20_15,1184943600,228.99,2.97,0.628,0.628,60,15,4,0
2007-07-20_16,1184947200,230.82,1.65,0.335,0.335,60,16,4,0
2007-07-20_17,1184950800,231.83,4.53,1.036,1.036,60,17,4,0
2007-07-20_18,1184954400,232.68,12.47,2.813,2.813,60,18,4,0
2007-07-20_19,1184958000,238.07,8.49,1.94,1.94,60,19,4,0
2007-07-20_20,1184961600,240.18,4.7,1.084,1.084,60,20,4,0
2007-07-20_21,1184965200,241.38,5.94,1.404,1.404,60,21,4,0
2007-07-20_22,1184968800,238.67,6.42,1.518,1.518,60,22,4,0
2007-07-20_23,1184972400,245.48,1.33,0.283,0.283,60,23,4,0
2007-07-21_00,1184976000,233.57,0.89,0.188,0.188,60,0,5,1
2007-07-21_01,1184979600,234.31,1.07,0.222,0.222,60,1,5,1
2007-07-21_02,1184983200,234.3,1.11,0.22,0.22,60,2,5,1
2007-07-21_03,1184986800,235.69,0.89,0.185,0.185,60,3,5,1
2007-07-21_04,1184990400,235.91,1.08,0.22,0.22,60,4,5,1
